Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,
"C3, C4, C5",0402,3,0.1uF,
IC2,SOP65P640X120-20N,1,STM32F042F6P6,
J1,MOLEX_2171790001,1,2171790001,
J2,JST_B3B-PH-K-S_LF__SN_,1,B3B-PH-K-S_LF__SN_,
J3,JST_B5B-PH-K-S_LF__SN_,1,B5B-PH-K-S_LF__SN_,
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"R1, R2",0603,2,5k1,
R3,0402,1,120,
R4,0402,1,10k,
U1,SOT95P255X145-3N,1,"TL431IDBZR,215",
U2,SON50P200X200X80-9N,1,DRV8837DSGR,
U3,SOT95P255X145-3N,1,MCP1703T-3302E_CB,
