Designator,Mid X,Mid Y,Rotation,Layer
C1,137.041044,-97.997828,180.0,top
C2,141.241044,-97.997828,180.0,top
C3,152.961044,-103.797828,180.0,top
C4,154.25,-96.25,0.0,top
C5,151.75,-96.25,180.0,top
IC2,147.041044,-102.797828,180.0,top
J1,130.666044,-103.397828,270.0,top
J2,157.65,-109.9,270.0,top
J3,157.65,-98.7,270.0,top
J4,149.24,-112.55,270.0,top
J5,137.76,-112.55,90.0,top
R1,133.05,-97.5,180.0,top
R2,136.85,-106.15,0.0,top
R3,144.391044,-98.397828,0.0,top
R4,147.05,-107.35,0.0,top
U1,147.291044,-96.762828,90.0,top
U2,152.676044,-94.0,180.0,top
U3,139.241044,-100.997828,180.0,top
