Designator,Mid X,Mid Y,Rotation,Layer
C1,155.3,-145.4,180.0,top
C10,127.45,-147.35,180.0,top
C11,139.45,-146.35,0.0,top
C12,126.675,-143.25,180.0,top
C13,130.4,-139.53,0.0,top
C14,124.45,-148.85,180.0,top
C15,144.2,-136.25,180.0,top
C16,117.85,-148.25,90.0,top
C17,119.6,-148.25,90.0,top
C18,120.85,-139.65,90.0,top
C19,120.0,-142.95,0.0,top
C2,154.05,-140.85,270.0,top
C20,137.7,-153.4,180.0,top
C21,137.7,-151.6,180.0,top
C22,156.05,-140.85,270.0,top
C3,122.8,-150.7,0.0,top
C4,155.95,-154.8,180.0,top
C5,150.35,-153.9,180.0,top
C6,135.85,-140.0,90.0,top
C7,131.35,-152.15,270.0,top
C8,139.45,-147.85,0.0,top
C9,127.45,-148.85,180.0,top
D1,148.0,-137.75,90.0,top
D2,119.4,-153.25,0.0,top
D3,144.05,-158.1,270.0,top
IC1,127.15,-140.63,90.0,top
IC2,155.725,-149.16,270.0,top
J1,114.2,-146.25,270.0,top
J2,128.5,-136.05,180.0,top
J3,136.25,-156.45,0.0,top
J4,166.475,-146.25,90.0,top
J5,125.35,-156.45,0.0,top
J6,155.55,-136.05,180.0,top
L1,149.75,-147.75,90.0,top
R1,158.65,-157.55,90.0,top
R10,147.25,-135.5,180.0,top
R11,133.708163,-152.722013,90.0,top
R12,146.5,-158.85,0.0,top
R2,160.75,-153.7,90.0,top
R3,124.4,-147.35,180.0,top
R4,159.3,-148.75,270.0,top
R5,153.15,-153.0,270.0,top
R6,160.0,-145.5,0.0,top
R7,139.3,-136.0,180.0,top
R8,123.4,-143.75,180.0,top
R9,158.65,-153.7,270.0,top
U1,133.6375,-146.1,0.0,top
U2,118.765,-151.05,0.0,top
U3,118.6,-140.465,270.0,top
U4,140.55,-152.515,90.0,top
U5,123.45,-140.915,90.0,top
U6,142.3,-139.95,0.0,top
Y1,126.075,-151.85,90.0,top
